book_title,id,author,price,gender,published_ date,publisher,month,year
Alif the Unseen,1,G. Willow Wilson,25,male,6/19/12,Grove,6,2012
Almost Never,2,Daniel Sada,16,male,12/12/12,Graywolf,12,2012
An American Spy,3,Olen Steinhauer,26,male,12/12/12,Minotaur,12,2012
Arcadia,4,Lauern Groff,26,female,12/12/12,Voice/Hyperion,11,2012
At Last ,5,Edawrd St. Aubyn,25,male,12/12/12,"Farrar, Straus & Grioux",10,2012
Beautiful Ruins,6,Jess Walter,26,female,12/12/12,HarperCollins,9,2012
Billy Lynn's Long Halftime Walk,7,Ben Fountain,26,male,12/12/12,HarperCollins,12,2012
Blasphemy,8,Sherman Alexie,27,male,12/12/12,Grove,11,2012
The Book of Mischeif: New and Selected Stories,9,Steve Stern,26,male,12/12/12,Graywolf,10,2012
Bringing Up Bodies,10,Hilary Mantel,28,female,12/12/12,Macrae/Holt,5,2012
The Accursed,11,Joyce Carol Oates,28,female,12/12/12,Ecco/HarperCollins,4,2013
All That Is,12,James Salter,27,male,12/12/12,Knopf,3,2013
Americanah,13,Chimamanda Ngozi Adichie,27,female,12/12/13,Knopf,2,2013
Bleeding Edge,14,Thomas Pychon ,29,male,12/12/13,Penguin Press,1,2013
Children Are Diamonds: An African Apocalypse,15,Edward Hoagland,24,male,12/12/13,Arcade,10,2013
The Circle,16,Dave Eggers,28,male,12/12/13,Knopft/McSweeney's,10,2013
Claire Of The Sea Light,17,Edwidge Danticat,26,male,12/12/13,Knopf,2,2013
The Color Master: Stories,18,Aimee Bender,25,female,12/12/13,Doubleday,3,2013
A Constellation of Vital Phenomena,19,Anthony Marra,26,male,12/12/13,Hogarth,3,2013
The Angel Esmeralda: Nine Stories,20,Don DeLillo,24,male,12/12/11,Scribner,5,2011
The Art of Fielding,21,Chad Harbach,26,male,12/12/11,Little Brown,3,2011
The Barbarian Nurseries,22,Hector Tobar,27,male,12/12/11,"Farrar, Straus & Giroux",3,2011
"The Big Question. Or, Asomatognosia: Whose Hand Is It Anyway?",23,Anders Brekhus Nilsen,45,male,12/12/11,Drawn&Quarterly,7,2011
The Buddha In the Attic,24,Julie Otsuka,22,female,12/12/11,Knopft,5,2011
